-1,-1.1,-1.05,-1,-0.6,-0.5,-0.4,-0.2,-0.1,-0.05,-0.02,-0.02,-0.01,-0.005,-0.001
-0.25,-1,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.031431,-0.23742,-0.25
-0.25,-0.15741,-1,-0.25,-0.25,-0.092496,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,-0.25,-1,-0.25,0.036393,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,-0.25,-0.25,-1,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.15383,-0.25
-0.25,-0.25,-0.25,-0.021117,-0.046913,-1,-0.25,-0.25,-0.25,-0.23874,-0.22704,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-1,-0.25,-0.25,-0.25,-0.25,-0.14592,-0.11258,-0.17295,-0.22411
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-1,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,-0.25,-0.25,-0.06304,-0.25,-0.25,-0.25,-1,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-1,-0.25,-0.25,-0.25,-0.25,0.064515
-0.25,-0.25,-0.25,-0.25,0.0049014,-0.25,-0.25,-0.25,-0.25,-0.25,-1,-0.17792,-0.25,-0.25,-0.25
-0.25,-0.25,-0.065934,-0.25,-0.25,-0.25,-0.25,-0.25,-0.14119,-0.25,-0.25,-1,-0.25,-0.13556,-0.25
-0.25,-0.25,-0.25,-0.25,-0.25,-0.055397,-0.14547,-0.25,-0.25,-0.0039691,-0.25,-0.019029,-1,-0.25,-0.25
-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.18621,-0.12982,-0.25,-0.25,-0.14449,-0.25,-0.25,-1,-0.25
-0.25,-0.25,-0.25,-0.25,0.040625,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.2292,-0.034428,-1
